address,tagname,description,SCADA_tagname,type,source
500.01,STER_LEVEL_BALANCE_TK_DA,"""BALANCE TANK LOW LEVEL <20%""",['STER_LEVEL_BALANCE_TK_DA'],BOOL,BOTH
500.02,BTGRTRTHAN25PERCENT,"""B.T. > 25% ""START P76""""",[],BOOL,PLC
500.03,STER_LEVEL_BALANCE_TK_LOW,"""BALANCE TANK LOW LEVEL <15%""","['STER_LEVEL_BALANCE_TK_LOW', 'STER_BLTK<15%']",BOOL,BOTH
500.04,BTGRTRTHAN55PERCENT,"""B.T. > 55% ""STOP P76""""",[],BOOL,PLC
500.05,CIPMINUSOVERFLOW,"""BALANCE TANK CIP OVERFLOW""",[],BOOL,PLC
500.06,STER_LEVEL_BALANCE_TK_ALARM,"""STERILIZER BALANCE TANK LOW LEVEL""",['STER_LEVEL_BALANCE_TK_ALARM'],BOOL,BOTH
500.07,BTLOWACK,"""BALANCE TANK LOW LEVEL ALARM CANCEL""",[],BOOL,PLC
500.08,BTHIGHALARM,"""BALANCE TANK HIGH LEVEL ALARM""",[],BOOL,PLC
500.09,BTHIGHCANCEL,"""BALANCE TANK HIGH LEVEL ALARM CANCEL""",[],BOOL,PLC
500.10,BT_LL_5PERCENT,"""BALANCE TANK LOW 5%""",[],BOOL,PLC
500.11,BT_LVL,"""B.T > 6%""",[],BOOL,PLC
500.12,BTK_LEVEL_75PERCENT,"""BALANCE TANK LEVEL > 75%""",[],BOOL,PLC
500.13,BTLESSTHAN15PERCENT,"""B.T. < 15%""",[],BOOL,PLC
500.14,_BTGRTRTHAN30PERCENT,""" """,[],BOOL,PLC
500.15,STER_PROC_CHEM_START_DI,"""Batch Start Gelly on belt ""CIP timming Report""""",['STER_PROC_CHEM_START_DI'],BOOL,BOTH
